"pvalue" "adjpvalue" "logFC"
"PLEKHN1" 2.15251763522598e-50 1.44057912608132e-48 2.82182191563639
"MMP11" 4.11703649743804e-50 2.74395378789992e-48 4.73249489655471
"GINS1" 5.14427156140397e-50 3.41448378657961e-48 2.67326662542859
"GCOM1" 5.28476790659037e-50 3.49336153956542e-48 -2.77316040482968
"KIF18B" 6.4132775511841e-50 4.22203076012442e-48 3.33746932357454
"SCN4B" 7.45035078568474e-50 4.88482552123208e-48 -3.12445183913954
"ANLN" 7.92811709927445e-50 5.17702836818614e-48 3.28445583845191
"DEPDC1B" 8.51870404835703e-50 5.54024909661091e-48 3.10728580143974
"HBEGF" 9.17621506121956e-50 5.9439025189723e-48 -2.64438253450942
"TNS1" 1.23012888936072e-49 7.93629954259964e-48 -2.2487510721352
"CDC6" 1.28716169140149e-49 8.27116769745601e-48 2.98943066165013
"EXO1" 1.3264743695736e-49 8.48996234398911e-48 3.05625413603096
"GIMAP1" 1.51144638202511e-49 9.63562003781938e-48 -2.10524077416632
"SKA3" 1.65668972336896e-49 1.05199797433929e-47 2.83794510690443
"RASAL1" 1.68755567001288e-49 1.06739550594658e-47 3.63687942691063
"RAD54L" 1.91258341830963e-49 1.20500226382484e-47 2.86504249729681
"CCDC141" 1.93051480307151e-49 1.21156705286927e-47 -3.64111437486047
"EFNA4" 2.03449943697561e-49 1.27187757437905e-47 2.06698561340259
"FHL5" 3.54369151050743e-49 2.20680310320364e-47 -3.06919471854608
"SLIT2" 3.71804888203188e-49 2.30647732378047e-47 -2.57467816927105
"SPAG4" 4.01620976590697e-49 2.48189453311546e-47 2.58457345909689
"DPP6" 4.34961421299472e-49 2.67766899394625e-47 -3.07039333491242
"TROAP" 4.94825150514519e-49 3.03461401241394e-47 3.28787581931124
"GDF10" 6.01428117276413e-49 3.67440685740578e-47 -4.10777484926632
"DPEP2" 7.97888202309727e-49 4.85627879813343e-47 -2.4494793862407
"CCDC85A" 8.66913726986776e-49 5.25656071525177e-47 -3.08158948586397
"RXFP2" 9.40698158981827e-49 5.68259198734752e-47 -2.60765158589461
"KIF17" 1.09131162599397e-48 6.56782284166298e-47 -2.15163154058793
"SLC19A3" 1.12234370527085e-48 6.72947272204963e-47 -3.49624676708065
"STX12" 1.36203545746338e-48 8.13639625682477e-47 -0.984648841452959
"NLN" 1.38024944924322e-48 8.21477615012693e-47 1.41607618268389
"SH2D4B" 1.48462609626906e-48 8.80350525982488e-47 -2.23490450992631
"HEG1" 1.61349220276029e-48 9.53260649755336e-47 -2.18381613238305
"LGR4" 1.95276510199769e-48 1.14949446460294e-46 2.51420637862372
"PHACTR1" 2.02490066557191e-48 1.18762264854579e-46 -2.57002503289199
"CLDN5" 2.28163127093976e-48 1.33334894090534e-46 -3.01697086154637
"CDCA3" 2.32776899435224e-48 1.35540022057427e-46 2.75992130410436
"HPS5" 2.45109209700248e-48 1.42207426016378e-46 -1.12311894914501
"COLEC10" 4.14385523342949e-48 2.39556419569836e-46 -2.68445553679259
"RECQL4" 5.23427361051233e-48 3.01512853799834e-46 2.63318344839179
"GTSE1" 5.56665394617125e-48 3.19518012447673e-46 2.82703146915705
"KNOP1" 6.58580685746525e-48 3.76675456751975e-46 1.14938014546766
"MELK" 7.6491859201949e-48 4.35949539600083e-46 3.14817249912519
"CEP55" 8.09211707001478e-48 4.59569564162917e-46 2.89217811012219
"FUT2" 8.54141580069534e-48 4.83384194559351e-46 2.95247975418302
"TPX2" 9.27270321308148e-48 5.22935070362906e-46 3.19753693802159
"KCNT2" 1.12824292132302e-47 6.34056797143517e-46 -3.10379304538318
"DEPDC1" 1.15180366038929e-47 6.45050043000656e-46 3.28154558651285
"FRMD5" 1.23047057048651e-47 6.86721793473248e-46 3.38612478080456
"OR2W3" 1.47651395128697e-47 8.21196328286468e-46 -2.01726529035069
"SNRK" 1.61803789349347e-47 8.94152948453555e-46 -1.16030592969943
"SPRYD7" 1.61877773543579e-47 8.94152948453555e-46 -1.2453839632278
"DENND3" 2.07929728071716e-47 1.14460702527942e-45 -1.74190435080562
"IL3RA" 2.15000748752299e-47 1.17950580837613e-45 -1.73818450005161
"ARC" 2.30285204520537e-47 1.25907459786839e-45 -3.47784445934844
"SYT15" 3.16701666660874e-47 1.72570310188285e-45 -3.37808660076483
"TMEM88" 4.76448225793533e-47 2.58741866458717e-45 -2.22145917864024
"MSTO1" 5.74120853961337e-47 3.10738095756457e-45 1.42335076679175
"TCEAL2" 6.63417676965401e-47 3.57868351564379e-45 -3.54466952422464
"CCNB2" 7.18976026851957e-47 3.86545477903174e-45 2.68462441742958
"CMTM2" 7.68800672127147e-47 4.11959669127533e-45 -2.04450191478029
"CGNL1" 8.6073937556397e-47 4.59697529419578e-45 -2.40387974830784
"SBSPON" 8.8738196926163e-47 4.72362501063394e-45 -2.88010943848358
"TMEM204" 1.10791212075638e-46 5.87812980121044e-45 -1.8253974865402
"FAM136A" 1.19013716369752e-46 6.29367944697619e-45 1.16587414749351
"EPN3" 1.25692378792436e-46 6.62513848870328e-45 3.09974495629169
"KIF11" 1.60512329231238e-46 8.43290996146786e-45 2.38503911497435
"LMCD1" 2.27596541984922e-46 1.19185215119312e-44 -1.71802318617137
"TUBB1" 2.28588189759114e-46 1.19317116913423e-44 -2.55263732558026
"UNC45B" 2.29763926126372e-46 1.19543947241686e-44 -2.34565717227696
"MYH2" 2.44003259035505e-46 1.26544326848349e-44 -2.53999068067339
"SIRPB1" 2.69290098899308e-46 1.39210897600864e-44 -3.08041656814155
"AURKB" 2.71508324225016e-46 1.3990919365576e-44 3.09496888800192
"TRPV2" 2.95963742447737e-46 1.52025452291068e-44 -1.98310029463082
"PNPLA6" 3.05887252535699e-46 1.56623984004707e-44 -1.5097306978817
"STX1A" 3.11405942763191e-46 1.58945140848972e-44 2.61187486617522
"FXYD6" 3.59361772048021e-46 1.82843723071373e-44 -2.05452645418087
"LAMP3" 5.12913929272029e-46 2.60150590101527e-44 -3.31303092559134
"UBE2C" 6.17077779797852e-46 3.12001489352964e-44 3.59775444938757
"C1orf112" 6.40592020201962e-46 3.2287839668242e-44 1.60842244591061
"GYPC" 8.09704080237743e-46 4.06844769786747e-44 -1.87823401587295
