Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
IGSF9B	22997	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Particulate Matter	8.94	5
IK	3550	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ITPRIPL2	162073	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ITSN2	50618	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
LNX2	222484	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
LYRM9	201229	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Resveratrol|Vehicle Emissions	8.94	4
MIRLET7I	406891	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Particulate Matter	8.94	5
MRPL1	65008	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
MYH3	4621	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
NDUFS2	4720	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
NOD1	10392	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
NSL1	25936	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
OAZ2	4947	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ORC5	5001	Adenocarcinoma of Lung	MESH:D000077192		Particulate Matter|Urethane|Vehicle Emissions	8.94	5
P3H2	55214	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
PAM16	51025	Adenocarcinoma of Lung	MESH:D000077192		Particulate Matter|Urethane|Vehicle Emissions	8.94	5
PAQR8	85315	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
PER2	8864	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Arsenic Trioxide|benz(a)anthracene|Particulate Matter|trichostatin A	8.94	7
PRKAR1B	5575	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
SECISBP2L	9728	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
SEMA4B	10509	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
SMU1	55234	Adenocarcinoma of Lung	MESH:D000077192		Resveratrol|Theophylline|Vehicle Emissions	8.94	3
